date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:40	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-3135%22	https://technext.github.io/cleaning-company/js/jquery.stellar.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/jquery.stellar.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:41	1391/1391	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-56f%22	https://technext.github.io/cleaning-company/js/jquery.animateNumber.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/jquery.animateNumber.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:42	43237/43237	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-a8e5%22	https://technext.github.io/cleaning-company/js/owl.carousel.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/owl.carousel.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:42	7447/7447	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-1d17%22	https://technext.github.io/cleaning-company/js/scrollax.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/scrollax.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:43	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-4ef8%22	https://technext.github.io/cleaning-company/js/jquery.magnific-popup.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/jquery.magnific-popup.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:44	4048/4048	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-fd0%22	https://technext.github.io/cleaning-company/js/main.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/main.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:45	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-79a%22	https://technext.github.io/cleaning-company/js/google-map.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/google-map.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:46	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://technext.github.io/cleaning-company/css/owl.video.play.png	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/css/owl.video.play.png	(from https://technext.github.io/cleaning-company/css/owl.carousel.min.css)
21:47:47	8022/8022	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e7715a4-1f56%22	https://technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.eot	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.eot	(from https://technext.github.io/cleaning-company/css/flaticon.css)
21:47:48	8022/8022	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e7715a4-1f56%22	https://technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.eot?	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/fonts/flaticon/font/Flaticond41d.eot	(from https://technext.github.io/cleaning-company/css/flaticon.css)
21:47:48	5176/5176	---M--	200	added ('OK')	font/woff	etag:%225e7715a4-1438%22	https://technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.woff	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.woff	(from https://technext.github.io/cleaning-company/css/flaticon.css)
21:47:48	7844/7844	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e7715a4-1ea4%22	https://technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.ttf	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.ttf	(from https://technext.github.io/cleaning-company/css/flaticon.css)
21:47:49	48707/48707	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e7715a4-be43%22	https://technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.svg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/fonts/flaticon/font/Flaticon.svg	(from https://technext.github.io/cleaning-company/css/flaticon.css)
21:47:49	268038/268038	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7715a4-41706%22	https://technext.github.io/cleaning-company/js/jquery.min.js	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/js/jquery.min.js	(from https://technext.github.io/cleaning-company/index.html)
21:47:54	298435/298435	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-48dc3%22	https://technext.github.io/cleaning-company/images/bg_3.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/bg_3.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:55	87598/87598	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-1562e%22	https://technext.github.io/cleaning-company/images/image_5.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/image_5.jpg	(from https://technext.github.io/cleaning-company/blog.html)
21:47:56	107498/107498	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-1a3ea%22	https://technext.github.io/cleaning-company/images/image_6.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/image_6.jpg	(from https://technext.github.io/cleaning-company/blog.html)
21:47:58	140805/140805	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-22605%22	https://technext.github.io/cleaning-company/images/image_4.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/image_4.jpg	(from https://technext.github.io/cleaning-company/blog.html)
21:48:06	342111/342111	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-5385f%22	https://technext.github.io/cleaning-company/images/bg_2.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/bg_2.jpg	(from https://technext.github.io/cleaning-company/about.html)
